index,product_id,name,price,quantity,category,description,production_date,rating,status
0,1,Сельдерей,5453,896,Овощи,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2006-06-10,3.6,New
1,2,Бифштекс,965,94,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,1991-07-10,3.54,Shipping
2,3,Отбивная,4259,134,Мясо,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2019-12-03,3.25,Out of Stock
3,4,Шубат,2836,216,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2008-05-01,3.38,Delivered
4,5,Курортная,1495,295,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2019-07-09,4.68,Available for Pickup
5,6,Конина,1276,151,Мясо,"Подходит для использования в диетах, направленных на снижение веса.",2009-02-11,1.15,Shipping
6,7,Сметана,7717,317,Молочные продукты,Используется в косметологии для ухода за кожей и волосами.,2008-03-12,1.44,On Backorder
7,8,Солонина,4023,949,Мясо,Помогает поддерживать нормальный уровень pH в организме.,2003-03-08,4.05,On Backorder
8,9,Кристалл Байкала,1990,649,Напитки,"Подходит для приготовления как горячих, так и холодных блюд.",2002-07-07,2.44,Shipping
9,10,Верблюжье молоко,8691,783,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2011-07-04,0.12,Sold
10,11,Ростовская-на-Дону,3670,469,Напитки,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2008-01-13,4.63,Pending
12,13,Баранина,3841,230,Мясо,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1991-01-11,0.96,Delivered
13,14,Сушеные грибы,152,868,Бакалея,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2008-02-13,2.94,Backorder
14,15,Йогурт,4321,220,Молочные продукты,"Отличается длительным сроком годности, что позволяет делать запасы.",1996-02-02,4.85,Pending
15,16,Манго,3719,858,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,1992-01-12,1.24,Temporarily Unavailable
16,17,Цукини,3854,399,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1999-05-05,0.34,Cancelled
17,18,Кристалл Байкала,8398,912,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2022-02-02,4.45,Pending
18,19,Nestea,1287,512,Напитки,Помогает поддерживать нормальный уровень кислотности желудка.,2018-06-18,2.98,Out of Stock
19,20,Камамбер,3865,957,Молочные продукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,1998-01-23,2.05,Sold
20,21,Пакеты для Пасхи,7189,916,Товары для дома,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1994-04-03,0.76,Out of Stock
21,22,Черешня,1382,449,Фрукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2022-09-05,1.0,Out of Stock
22,23,Эндивий,6819,282,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,1999-08-14,2.12,Out of Stock
23,24,Хурма,8372,979,Фрукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1999-04-04,0.97,New
24,25,Каша из теффа,5235,509,Бакалея,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1995-04-05,0.48,Pending
25,26,Скалки,9181,781,Товары для дома,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2010-01-11,0.8,Pending
26,27,Банан,7962,111,Фрукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2013-01-19,3.25,New
27,28,Груша,7704,294,Фрукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,1990-01-04,3.04,Backorder
28,29,Пакеты для Дня благодарения,5339,901,Товары для дома,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2006-06-02,4.61,Available for Pickup
29,30,Гранат,2671,805,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2007-06-05,4.35,Refunded
