product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Сельдерей,5453,896,Овощи,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2006-06-10,2025-07-22,3.6,New
2,Бифштекс,965,94,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,1991-07-10,2023-04-10,3.54,Shipping
3,Отбивная,4259,134,Мясо,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2019-12-03,2027-01-02,3.25,Out of Stock
4,Шубат,2836,216,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2008-05-01,2030-01-07,3.38,Delivered
5,Курортная,1495,295,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2019-07-09,2025-02-27,4.68,Available for Pickup
6,Конина,1276,151,Мясо,"Подходит для использования в диетах, направленных на снижение веса.",2009-02-11,2018-07-01,1.15,Shipping
7,Сметана,7717,317,Молочные продукты,Используется в косметологии для ухода за кожей и волосами.,2008-03-12,2014-02-02,1.44,On Backorder
8,Солонина,4023,949,Мясо,Помогает поддерживать нормальный уровень pH в организме.,2003-03-08,2030-04-04,4.05,On Backorder
9,Кристалл Байкала,1990,649,Напитки,"Подходит для приготовления как горячих, так и холодных блюд.",2002-07-07,2026-03-09,2.44,Shipping
10,Верблюжье молоко,8691,783,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2011-07-04,2013-04-04,0.12,Sold
11,Ростовская-на-Дону,3670,469,Напитки,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2008-01-13,2012-06-12,4.63,Pending
12,Постельное белье,5530,307,Товары для дома,Подходит для использования в качестве основы для смузи и коктейлей.,2018-01-09,2030-05-06,2.1,Awaiting Payment
13,Баранина,3841,230,Мясо,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1991-01-11,2024-01-01,0.96,Delivered
14,Сушеные грибы,152,868,Бакалея,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2008-02-13,2010-04-18,2.94,Backorder
15,Йогурт,4321,220,Молочные продукты,"Отличается длительным сроком годности, что позволяет делать запасы.",1996-02-02,2016-02-02,4.85,Pending
16,Манго,3719,858,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,1992-01-12,2011-01-11,1.24,Temporarily Unavailable
17,Цукини,3854,399,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1999-05-05,2016-06-01,0.34,Cancelled
18,Кристалл Байкала,8398,912,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2022-02-02,2023-02-19,4.45,Pending
19,Nestea,1287,512,Напитки,Помогает поддерживать нормальный уровень кислотности желудка.,2018-06-18,2022-04-09,2.98,Out of Stock
20,Камамбер,3865,957,Молочные продукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,1998-01-23,2007-02-04,2.05,Sold
21,Пакеты для Пасхи,7189,916,Товары для дома,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1994-04-03,2007-03-23,0.76,Out of Stock
22,Черешня,1382,449,Фрукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2022-09-05,2028-06-01,1.0,Out of Stock
23,Эндивий,6819,282,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,1999-08-14,2001-02-08,2.12,Out of Stock
24,Хурма,8372,979,Фрукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1999-04-04,2001-01-10,0.97,New
25,Каша из теффа,5235,509,Бакалея,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1995-04-05,2002-01-02,0.48,Pending
26,Скалки,9181,781,Товары для дома,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2010-01-11,2012-01-23,0.8,Pending
27,Банан,7962,111,Фрукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2013-01-19,2025-01-20,3.25,New
28,Груша,7704,294,Фрукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,1990-01-04,2023-08-03,3.04,Backorder
29,Пакеты для Дня благодарения,5339,901,Товары для дома,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2006-06-02,2021-04-02,4.61,Available for Pickup
30,Гранат,2671,805,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2007-06-05,2017-02-21,4.35,Refunded
31,Реутовская,9867,741,Напитки,Помогает нормализовать артериальное давление и уровень холестерина.,2012-01-15,2021-05-01,3.75,Backorder
32,Шадринская,6227,358,Напитки,Помогает поддерживать нормальный уровень гемоглобина в крови.,2009-06-11,2013-02-01,3.57,Awaiting Review
33,Шелковица,343,313,Фрукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1993-02-01,2028-05-04,4.82,On Backorder
34,Шубат,1451,724,Молочные продукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1992-02-28,2012-05-13,2.68,New
35,Петрушка корневая,7766,582,Овощи,Может использоваться в детском питании начиная с раннего возраста.,2004-05-07,2004-06-05,3.17,Shipping
36,Судакская,2278,291,Напитки,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2011-07-02,2028-02-05,4.99,Sold
37,Томаты в собственном соку,4700,971,Бакалея,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1996-03-13,2002-06-04,3.44,Available for Pickup
38,Камамбер,7028,390,Молочные продукты,Помогает поддерживать нормальный уровень артериального давления.,1992-03-03,1992-06-07,1.67,Out of Stock
39,Паштет,420,716,Мясо,Помогает поддерживать нормальный уровень электролитов в организме.,2008-07-02,2012-05-12,4.9,Backorder
40,Топинамбур,1508,651,Овощи,Помогает укрепить иммунную систему и защитить организм от инфекций.,1995-07-08,2018-01-24,2.29,In Stock
41,Сгущенное молоко,8429,815,Бакалея,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2004-06-02,2016-03-23,2.76,Out of Stock
42,Сергиево-Посадская,7350,161,Напитки,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1995-03-04,2010-04-17,4.41,New
43,Сок ананасовый,2258,187,Напитки,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2012-05-02,2014-08-16,4.63,Returned
44,Ройбос,1951,935,Напитки,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2018-01-01,2019-02-12,1.07,Temporarily Unavailable
45,Сок яблочный,972,240,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2012-02-14,2025-05-06,4.02,Out of Stock
46,Пепперони,2517,840,Мясо,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2014-01-03,2023-02-01,1.39,Temporarily Unavailable
