job;salary;id;city;year;age
Архитектор;183312;7975968;Баку;2005;45
Косметолог;92595;3810150;Мурсия;2005;25
Менеджер;22216;3393898;Хихон;1999;55
Архитектор;70682;1093922;Виго;2020;43
Архитектор;103799;5945362;Тбилиси;2021;63
Бухгалтер;195228;9095332;Краков;2006;56
Водитель;112921;3630804;София;2020;50
Инженер;129637;3698189;Осера;2022;38
Оператор call-центра;32819;2067404;Пласенсия;2000;58
Медсестра;53648;6290324;Сория;2015;53
Архитектор;183560;7581408;Бильбао;2005;62
Медсестра;27160;5187857;Хихон;2019;47
Учитель;199300;5779022;Сьюдад-Реаль;1999;57
Менеджер;99356;8573179;Гранада;2016;60
Учитель;169204;3648597;Тарраса;2006;54
Косметолог;159375;7758365;Скопье;2015;65
Учитель;94936;6872212;Вильявисиоса;2000;38
Врач;163040;3559265;Пласенсия;2006;26
Продавец;69745;7406969;Бильбао;2004;21
Врач;20238;7433221;Тудела;2022;36
Продавец;54706;5228138;Эль-Пуэрто-де-Санта-Мария;2017;63
Инженер;122854;7233118;Краков;2014;55
Оператор call-центра;69041;5323409;Сан-Себастьян;2007;27
Медсестра;61263;9544648;Гранада;2006;18
Оператор call-центра;183792;5160092;Кадакес;2015;26
Менеджер;93201;4803406;Кадакес;2012;58
Психолог;134723;3056140;Белград;2018;59
Бухгалтер;52664;2491880;Подгорица;2000;20
IT-специалист;99799;9216352;София;2015;31
Бухгалтер;145222;3537214;Вильнюс;2019;43
Продавец;158133;5826363;Краков;1999;48
Программист;51167;4129174;Самора;2022;37
Косметолог;131363;4942238;Авилес;2017;42
Водитель;180791;4487757;Осера;2011;65
Программист;83843;6401411;Варшава;2008;40
Инженер;184522;7328262;Таллин;2013;42
Продавец;91407;6323453;Осера;2004;45
Продавец;63356;8780661;Тирана;2005;31
Строитель;31092;2708952;Осера;2009;29
IT-специалист;93991;3538314;Артейхо;2009;63
Архитектор;116210;4579787;Белград;2013;63
Инженер;38138;8051673;Астана;2009;47
IT-специалист;65910;3498969;Хихон;2002;54
Водитель;56462;7689747;Касерес;2010;30
Водитель;194628;9204756;Баку;1999;28
IT-специалист;25825;4886429;Алма-Ата;2011;36
Менеджер;153610;3182468;Ереван;2010;55
Медсестра;27762;1608848;Мартоса;2021;52
Строитель;20820;4296733;Пласенсия;2006;20
Оператор call-центра;190544;6067823;Белград;2019;60
Психолог;105112;8403097;Душанбе;2010;35
Строитель;48470;2420633;Авилес;2004;51
Менеджер;152265;5606882;Подгорица;2017;20
Косметолог;148981;3537162;Сантьяго-де-Компостела;2001;51
Учитель;86276;9224026;Санкт-Петербург;2007;38
Врач;195460;1593354;Афины;2008;31
Программист;168469;6407348;Мурсия;2004;25
IT-специалист;87482;1969946;Прага;2016;51
Психолог;46183;1835033;Самора;2009;45
Психолог;163963;9458656;Эльче;2001;29
Продавец;51543;5988964;Астана;2005;31
Строитель;79119;2640231;Барселона;2020;48
Менеджер;112842;2544193;Бургос;2004;50
Косметолог;118214;7555007;Камбадос;2013;44
Продавец;55416;5599718;Эль-Пуэрто-де-Санта-Мария;2019;31
Медсестра;46952;7366496;Москва;2016;52
Бухгалтер;57228;7958003;Вроцлав;2016;35
Косметолог;32501;1552508;Рига;2004;30
Повар;199354;8506378;Самора;1999;50
Повар;199174;1667978;Осера;2014;49
Психолог;126113;2472271;Вальядолид;2008;22
Водитель;57666;5363510;Кордова;2014;38
Оператор call-центра;166779;1166052;Осера;2010;32
Психолог;144177;4226588;Аликанте;2001;42
Водитель;131091;8406513;Скопье;2017;33
Строитель;183115;7539432;Навалькарнеро;2011;21
Медсестра;137876;1195921;Тудела;2003;22
Менеджер;192400;2087159;Варшава;2018;42
Архитектор;140001;7388996;Будапешт;2022;51
Архитектор;87835;7866108;Аликанте;2021;21
Психолог;160689;8287910;Прага;2016;63
IT-специалист;64554;9429804;Скопье;2013;44
Психолог;46410;6433952;Семана;2006;33
Повар;123257;5212261;Тбилиси;2005;30
Учитель;192742;3601164;Вальядолид;2012;62
Психолог;144110;9911172;Навалькарнеро;2016;36
Менеджер;192070;1728424;Навалькарнеро;2014;51
Оператор call-центра;34956;2482023;Загреб;2016;64
Продавец;25618;8615653;Мурсия;2010;60
Продавец;50429;7930308;Тирана;2000;24
Программист;102014;4263980;Кордова;2011;27
Учитель;101064;7119860;Эльче;2010;18
Архитектор;81493;1787725;Бланес;2011;57
Продавец;145409;2435070;Тбилиси;2011;50
Медсестра;84047;6018935;Алькала-де-Энарес;2018;31
Повар;112269;4261729;Луарка;2003;18
Менеджер;150844;5445740;Касерес;2002;38
Инженер;170446;2747965;Тарраса;2007;62
Оператор call-центра;130883;3958629;Вальядолид;2017;30
Психолог;39414;6217701;Астана;2009;60
Бухгалтер;181137;6710545;Барселона;1999;18
Повар;169829;3757928;Санкт-Петербург;2000;42
Архитектор;100427;7090717;Эльче;2020;56
Водитель;166559;5934951;Мурсия;2019;34
Врач;150499;4017117;Сория;2018;55
Продавец;33362;2787947;Кадакес;2019;25
