,Product ID,Name,$ Price:,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
0,1,Ялтинская,6056,121,Напитки,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2018-02-02,2018-02-02,2.66,Sold
1,2,Nestea,7458,558,Напитки,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2009-01-06,2009-01-06,4.38,Shipping
2,3,Рис,3302,526,Бакалея,"Отличается длительным сроком годности, что позволяет делать запасы.",2021-01-01,2021-01-01,4.97,In Stock
3,4,"Экзотические виды мяса (например, страус, кенгуру)",6713,262,Мясо,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2017-04-02,2017-04-02,4.12,Cancelled
4,5,Патиссон,6425,978,Овощи,Помогает поддерживать нормальный уровень артериального давления.,1995-02-09,1995-02-09,0.33,Pending
5,6,Карбонад,9299,659,Мясо,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2026-08-04,2026-08-04,2.83,Available for Pickup
6,7,Хинкали,521,815,Мясо,"Отличается приятным ароматом, который усиливает аппетит.",2029-08-03,2029-08-03,2.26,Out of Stock
7,8,Кольраби,1892,373,Овощи,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2006-03-16,2006-03-16,4.55,Awaiting Review
8,9,Уральская,2485,559,Напитки,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2018-07-05,2018-07-05,0.44,Cancelled
9,10,Пакеты бумажные,1658,171,Товары для дома,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2018-01-01,2018-01-01,1.18,Cancelled
10,11,Шаверма,2742,137,Мясо,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2022-01-01,2022-01-01,2.36,Awaiting Payment
11,12,Помело,3843,602,Фрукты,Является важным компонентом сбалансированного рациона питания.,2030-05-04,2030-05-04,4.44,Refunded
12,13,Горох,276,178,Овощи,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",1995-04-27,1995-04-27,1.56,On Backorder
13,14,Самарская,502,996,Напитки,Отличается высокой питательностью и способен быстро утолить голод.,2018-02-06,2018-02-06,2.72,Out of Stock
14,15,Ананас,4945,728,Фрукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2017-01-07,2017-01-07,0.26,Cancelled
